page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	intro	category
22	22	0001000100010001	4	0	Machine Design Engineering	Machine Design Engineering	machine_design	64	1	0	/mech/research_interest_divisions/machine_design/			0				0	0						1
23	23	0001000100010002	4	0	Manufacturing Engineering	Manufacturing Engineering	manufacturing	64	1	0	/mech/research_interest_divisions/manufacturing/			0				0	0						2
24	24	0001000100010003	4	0	Thermal and Fluid Engineering	Thermal and Fluid Engineering	thermal_and_fluid	64	1	0	/mech/research_interest_divisions/thermal_and_fluid/			0				0	0						3
